Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A739318,Jinette,12/1/2016 9:45,12/1/2016 9:45,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan/White
A712408,Louie,12/1/2016 10:34,12/1/2016 10:34,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A739323,Gin,12/1/2016 11:00,12/1/2016 11:00,710 E Ben White Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,White/Brown
A739324,,12/1/2016 11:00,12/1/2016 11:00,710 E Ben White Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Catahoula,White/Brown Merle
A739322,*Blue,12/1/2016 11:04,12/1/2016 11:04,Airport Blvd & Gunter St in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue
A739329,*Nelson,12/1/2016 11:13,12/1/2016 11:13,841 Airport Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund Mix,Black/White
A739334,Mellie,12/1/2016 11:29,12/1/2016 11:29,4809 S Congress Ave in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Blue Tabby
A739333,*Bea,12/1/2016 11:29,12/1/2016 11:29,4809 S Congress Ave in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Blue Tabby
A739340,,12/1/2016 11:32,12/1/2016 11:32,6610 Fm1327 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A739342,,12/1/2016 11:32,12/1/2016 11:32,6610 Fm1327 in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Black/Gray Tabby
A739339,,12/1/2016 11:32,12/1/2016 11:32,6610 Fm1327 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A739338,,12/1/2016 11:32,12/1/2016 11:32,6610 Fm1327 in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black
A739337,,12/1/2016 11:32,12/1/2016 11:32,6610 Fm1327 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A739341,,12/1/2016 11:32,12/1/2016 11:32,6610 Fm1327 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Medium Hair Mix,Black/Gray Tabby
A739344,Starman,12/1/2016 11:46,12/1/2016 11:46,16493 Cameron Rd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A739349,,12/1/2016 11:56,12/1/2016 11:56,8600 Brodie Ln in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
A739348,,12/1/2016 11:56,12/1/2016 11:56,8600 Brodie Ln in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue Tabby
A739350,,12/1/2016 11:56,12/1/2016 11:56,8600 Brodie Ln in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
A739357,,12/1/2016 12:05,12/1/2016 12:05,1237 Eleanor St in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby
A739353,,12/1/2016 12:05,12/1/2016 12:05,1237 Eleanor St in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A739355,*Leonel,12/1/2016 12:05,12/1/2016 12:05,1237 Eleanor St in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A739356,*Noelle,12/1/2016 12:05,12/1/2016 12:05,1237 Eleanor St in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A739352,,12/1/2016 12:14,12/1/2016 12:14,4550 Mueller Blvd in Austin (TX),Stray,Injured,Dog,Neutered Male,10 years,Standard Poodle Mix,Black
A718648,Xena,12/1/2016 12:40,12/1/2016 12:40,4925 Craigwood Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Miniature Schnauzer Mix,Gray/White
A739364,,12/1/2016 12:47,12/1/2016 12:47,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Pit Bull Mix,Brown Brindle/Black
A739359,,12/1/2016 12:47,12/1/2016 12:47,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Pit Bull Mix,Tan/White
A739361,,12/1/2016 12:47,12/1/2016 12:47,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Pit Bull Mix,Tan/Black
A739362,,12/1/2016 12:47,12/1/2016 12:47,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Pit Bull Mix,Brown Brindle/Black
A739363,,12/1/2016 12:47,12/1/2016 12:47,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Pit Bull Mix,Brown Brindle/Black
A739360,,12/1/2016 12:47,12/1/2016 12:47,3310 Norwood Hill Rd in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Siamese Mix,Silver Lynx Point/Gray
A739365,Phoenix,12/1/2016 13:09,12/1/2016 13:09,5920 Little Creek Trl in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Pit Bull Mix,Brown/White
A739366,,12/1/2016 13:20,12/1/2016 13:20,1303 Cardinal Hill Cir in Austin (TX),Stray,Normal,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black/White
A739367,*Chester,12/1/2016 13:23,12/1/2016 13:23,25212 Lakeview Dr in Travis (TX),Owner Surrender,Sick,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
A739368,,12/1/2016 13:26,12/1/2016 13:26,6008 Blythewood Dr in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Chihuahua Longhair Mix,Black
