Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A685885,Red,6/1/2017 6:56,6/1/2017 6:56,4704 S Imperial in Travis (TX),Stray,Normal,Dog,Neutered Male,4 years,Pit Bull Mix,Tan/White
A750828,,6/1/2017 9:40,6/1/2017 9:40,Sitio Del Rio in Austin (TX),Wildlife,Normal,Other,Unknown,5 months,Bat Mix,Brown
A750834,Osito,6/1/2017 9:58,6/1/2017 9:58,1626 Rutland Drive in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,German Shepherd Mix,Brown/Black
A750833,Charlie,6/1/2017 9:58,6/1/2017 9:58,1626 Rutland Drive in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,German Shepherd Mix,Tricolor
A750835,,6/1/2017 10:45,6/1/2017 10:45,Austin (TX),Wildlife,Injured,Other,Unknown,2 years,Opossum Mix,Gray/Black
A750836,,6/1/2017 10:49,6/1/2017 10:49,Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon Mix,Gray/Black
A750838,,6/1/2017 10:59,6/1/2017 10:59,Hunters Trace And Colony Creek in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,St. Bernard Smooth Coat Mix,Tricolor
A750840,Myia,6/1/2017 11:00,6/1/2017 11:00,1000 Larkhall Dr in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Siberian Husky Mix,Black/White
A750842,*Enid,6/1/2017 11:00,6/1/2017 11:00,Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A750839,Lucky,6/1/2017 11:00,6/1/2017 11:00,8104 Decker Ln in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A750843,*Rebecca,6/1/2017 11:00,6/1/2017 11:00,Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A750844,*Seymour,6/1/2017 11:00,6/1/2017 11:00,Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A750497,Piper,6/1/2017 11:10,6/1/2017 11:10,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Vizsla Mix,Red
A750845,,6/1/2017 11:26,6/1/2017 11:26,502 W Longspur Blvd in Austin (TX),Stray,Injured,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown/Black
A750846,Penny,6/1/2017 11:29,6/1/2017 11:29,3307 E 17 Th St in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Boxer Mix,Red/White
A750796,Nona,6/1/2017 11:32,6/1/2017 11:32,4616 Button Bend in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Dachshund Mix,Brown
A750848,*Leelu,6/1/2017 11:33,6/1/2017 11:33,14501 Highsmith St in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A750849,Tom,6/1/2017 11:46,6/1/2017 11:46,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,17 years,Domestic Shorthair Mix,Brown Tabby
A307010,Cooper,6/1/2017 11:47,6/1/2017 11:47,806 Castle Ridge in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,14 years,Beagle Mix,Tricolor
A750854,*Bruno,6/1/2017 12:19,6/1/2017 12:19,Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Great Pyrenees/American Bulldog,White/Black
A750850,Po,6/1/2017 12:19,6/1/2017 12:19,Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Great Pyrenees/American Bulldog,White/Black
A750852,Maverick,6/1/2017 12:19,6/1/2017 12:19,Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Great Pyrenees/American Bulldog,White
A750858,*Suki,6/1/2017 12:19,6/1/2017 12:19,Austin (TX),Stray,Normal,Dog,Intact Female,0 years,Great Pyrenees/American Bulldog,White/Red Tick
A750857,*Cinder,6/1/2017 12:19,6/1/2017 12:19,Austin (TX),Stray,Normal,Dog,Intact Female,0 years,Great Pyrenees/American Bulldog,Black/White
A750853,*Smokey,6/1/2017 12:19,6/1/2017 12:19,Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Great Pyrenees/American Bulldog,White/Black
A750851,*Bandit,6/1/2017 12:19,6/1/2017 12:19,Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Great Pyrenees/American Bulldog,Tricolor
A750856,*Elsa,6/1/2017 12:19,6/1/2017 12:19,Austin (TX),Stray,Normal,Dog,Intact Female,0 years,Great Pyrenees/American Bulldog,White/Black
A750855,*Peanut,6/1/2017 12:19,6/1/2017 12:19,Austin (TX),Stray,Normal,Dog,Intact Female,0 years,Great Pyrenees/American Bulldog,White/Black
A750859,,6/1/2017 12:28,6/1/2017 12:28,12104 Tanglewild Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue
A548247,Chico,6/1/2017 12:35,6/1/2017 12:35,Thaxton And Panadero in Austin (TX),Stray,Normal,Dog,Neutered Male,15 years,Chihuahua Shorthair Mix,Tan
A750861,,6/1/2017 13:23,6/1/2017 13:23,9515 Old Lochart Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A717193,Ace,6/1/2017 13:28,6/1/2017 13:28,2315 Dovehill in Austin (TX),Stray,Injured,Dog,Intact Male,4 years,Pit Bull Mix,Brown Brindle
A750863,Saturday,6/1/2017 13:30,6/1/2017 13:30,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,14 years,Domestic Shorthair Mix,Calico
A717194,Daisy,6/1/2017 13:33,6/1/2017 13:33,2315 Dovehill Dr in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair/Dachshund,Red/White
A742211,Rascal,6/1/2017 13:45,6/1/2017 13:45,Outside Jurisdiction,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,White/Brown
A750865,Peggy Sue,6/1/2017 14:19,6/1/2017 14:19,Holly St & Robert T Martinez in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Boxer,Brown Brindle/White
A750870,*Chaz,6/1/2017 14:22,6/1/2017 14:22,Manor (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Pit Bull Mix,White/Brown
A750885,*Maxwell,6/1/2017 14:24,6/1/2017 14:24,6403 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
A750889,*Siena,6/1/2017 14:24,6/1/2017 14:24,6403 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue Tabby
A750888,*Milicent,6/1/2017 14:24,6/1/2017 14:24,6403 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue Tabby
A750892,,6/1/2017 14:24,6/1/2017 14:24,6403 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A750884,Baby,6/1/2017 14:24,6/1/2017 14:24,6403 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
A750886,*Florence,6/1/2017 14:24,6/1/2017 14:24,6403 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue Tabby
A750891,*Milan,6/1/2017 14:24,6/1/2017 14:24,6403 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A750887,,6/1/2017 14:24,6/1/2017 14:24,6403 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue Tabby
A750890,*Margot,6/1/2017 14:24,6/1/2017 14:24,6403 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Torbie
A750866,*Feather,6/1/2017 14:27,6/1/2017 14:27,5308 Basswood Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Basenji Mix,Brown
A750871,Sauce,6/1/2017 14:28,6/1/2017 14:28,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Brown Tabby/White
A750872,Daisy,6/1/2017 15:10,6/1/2017 15:10,107 E Rector St in Manor (TX),Public Assist,Normal,Dog,Intact Female,1 year,Great Pyrenees Mix,White
A750875,*June,6/1/2017 15:17,6/1/2017 15:17,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Longhair Mix,Blue
A750874,*May,6/1/2017 15:17,6/1/2017 15:17,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue
A750873,*August,6/1/2017 15:17,6/1/2017 15:17,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue
A750876,Rabi,6/1/2017 15:40,6/1/2017 15:40,Austin (TX),Owner Surrender,Normal,Other,Unknown,1 year,Rabbit Sh Mix,Brown
