Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A761394,Bella,11/4/2017 8:14,11/4/2017 8:14,12034 Research Boulevard in Austin (TX),Stray,Injured,Dog,Intact Female,3 years,German Shepherd Mix,White
A757964,Duke,11/4/2017 8:22,11/4/2017 8:22,Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Great Pyrenees Mix,White
A761396,*Barney,11/4/2017 8:22,11/4/2017 8:22,Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Australian Cattle Dog Mix,Tan/White
A754170,Diva,11/4/2017 10:11,11/4/2017 10:11,7211 Ritchie in Austin (TX),Stray,Normal,Dog,Spayed Female,6 months,Pit Bull Mix,Blue/White
A724545,Chloe,11/4/2017 10:11,11/4/2017 10:11,7211 Ritchie in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
A722084,*Ivy,11/4/2017 10:25,11/4/2017 10:25,900 Thompson Street in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,White
A761399,,11/4/2017 11:11,11/4/2017 11:11,26Th Street And Rio Grande in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Rat Terrier/Dachshund,Black/Tan
A744201,Titus,11/4/2017 11:14,11/4/2017 11:14,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,10 months,German Shepherd Mix,Sable/White
A761406,,11/4/2017 11:45,11/4/2017 11:45,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 months,Domestic Shorthair,Torbie
A761402,,11/4/2017 11:45,11/4/2017 11:45,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 months,Domestic Shorthair Mix,Tortie
A761404,,11/4/2017 11:45,11/4/2017 11:45,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 months,Domestic Shorthair,Brown Tabby
A761405,,11/4/2017 11:45,11/4/2017 11:45,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 months,Domestic Shorthair,Torbie
A761403,Max,11/4/2017 11:45,11/4/2017 11:45,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,4 months,Domestic Shorthair,Blue Tabby/White
A761409,Buster,11/4/2017 12:31,11/4/2017 12:31,Wally Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A752575,*Kona,11/4/2017 12:48,11/4/2017 12:48,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Staffordshire Mix,Blue/White
A761411,,11/4/2017 12:48,11/4/2017 12:48,7806 South 1St Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,German Shepherd Mix,Brown/Tricolor
A761412,,11/4/2017 13:03,11/4/2017 13:03,5309 Spring Meadow Rd in Austin (TX),Stray,Injured,Cat,Unknown,1 year,Domestic Shorthair,Brown Tabby
A761426,*Pancake,11/4/2017 13:06,11/4/2017 13:06,4602 East Stassney Lane in Austin (TX),Stray,Normal,Dog,Intact Male,8 months,Treeing Tennesse Brindle Mix,Brown Brindle
A761417,,11/4/2017 13:19,11/4/2017 13:19,1016 Camino La Costa in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black
A761419,,11/4/2017 13:19,11/4/2017 13:19,1016 Camino La Costa in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black
A761418,,11/4/2017 13:19,11/4/2017 13:19,1016 Camino La Costa in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black
A761420,,11/4/2017 13:19,11/4/2017 13:19,1016 Camino La Costa in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Black
A744507,Binx,11/4/2017 13:26,11/4/2017 13:26,Austin (TX),Owner Surrender,Sick,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
A761416,,11/4/2017 13:30,11/4/2017 13:30,12362 Ballerstedt Road in Travis (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A761424,*Billy,11/4/2017 13:48,11/4/2017 13:48,12Th Street And Chicon in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Boxer/Pit Bull,Brown/White
A761425,*Sassy,11/4/2017 14:07,11/4/2017 14:07,11904 Garden Gate in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Blue/White
